"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-05",,,,"0.00",,"0.0","0.0",,"64","53",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-06",,,,"0.22",,"0.0","0.0",,"59","54",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-07",,,,"0.00",,"0.0","0.0",,"73","50",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-08",,,,"0.00",,"0.0","0.0",,"77","52",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-09",,,,"0.00",,"0.0","0.0",,"75","52",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-10",,,,"0.00",,"0.0","0.0",,"79","53",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-11",,,,"0.00",,"0.0","0.0",,"71","52",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-12",,,,"0.04",,"0.0","0.0",,"73","66",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-13",,,,"0.07",,"0.0","0.0",,"67","49",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-14",,,,"0.00",,"0.0","0.0",,"60","48",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-15",,,,"0.00",,"0.0","0.0",,"63","50",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-16",,,,"0.10",,"0.0","0.0",,"65","55",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-17",,,,"0.31",,"0.0","0.0",,"64","60",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-18",,,,"0.00",,"0.0","0.0",,"71","62",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-19",,,,"0.00",,"0.0","0.0",,"81","61",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-20",,,,"0.18",,"0.0","0.0",,"72","58",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-21",,,,"0.00",,"0.0","0.0",,"62","55",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-22",,,,"0.00",,"0.0","0.0",,"64","49",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-23",,,,"0.00",,"0.0","0.0",,"55","42",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-24",,,,"0.00",,"0.0","0.0",,"59","38",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-25",,,,"0.00",,"0.0","0.0",,"64","38",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-26",,,,"0.00",,"0.0","0.0",,"67","40",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-27",,,,"0.00",,"0.0","0.0",,"78","52",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-28",,,,"0.00",,"0.0","0.0",,"73","57",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-29",,,,"1.38",,"0.0","0.0",,"66","50",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-09-30",,,,"0.00",,"0.0","0.0",,"64","43",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-01",,,,"0.00",,"0.0","0.0",,"64","41",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-02",,,,"0.00",,"0.0","0.0",,"71","47",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-03",,,,"0.00",,"0.0","0.0",,"69","56",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-04",,,,"0.00",,"0.0","0.0",,"62","46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-05",,,,"0.00",,"0.0","0.0",,"68","43",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-06",,,,"0.00",,"0.0","0.0",,"77","45",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-07",,,,"0.00",,"0.0","0.0",,"76","58",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-08",,,,"0.00",,"0.0","0.0",,"72","57",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-09",,,,"0.00",,"0.0","0.0",,"72","46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-10",,,,"0.00",,"0.0","0.0",,"63","41",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-11",,,,"0.00",,"0.0","0.0",,"68","43",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-12",,,,"0.00",,"0.0","0.0",,"64","51",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-13",,,,"0.00",,"0.0","0.0",,"64","37",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-14",,,,"0.00",,"0.0","0.0",,"72","41",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-15",,,,"0.00",,"0.0","0.0",,"78","46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-16",,,,"0.00",,"0.0","0.0",,"80","46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-17",,,,"0.00",,"0.0","0.0",,"80","50",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-18",,,,"0.00",,"0.0","0.0",,"71","51",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-19",,,,"0.00",,"0.0","0.0",,"78","49",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-20",,,,"0.00",,"0.0","0.0",,"71","51",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-21",,,,"0.00",,"0.0","0.0",,"76","52",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-22",,,,"0.00",,"0.0","0.0",,"61","50",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-23",,,,"0.00",,"0.0","0.0",,"64","45",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-24",,,,"0.00",,"0.0","0.0",,"74","46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-25",,,,"0.00",,"0.0","0.0",,"76","46",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00004781","ISLIP LI MACARTHUR AIRPORT, NY US","1963-10-26",,,,"0.00",,"0.0","0.0",,"74","54",,,,,,,,,,,,,,,,,,,,,,,,,,,
